layer,metric,d_direct_pcr,d_cot_pcr
0,clean_interlayer_alignment,-0.7577681722658388,1.6843198438767257
0,full_interlayer_alignment,-0.810364204951605,1.6914427001416932
1,clean_interlayer_alignment,-0.7577681722658388,1.6843198438767257
1,full_interlayer_alignment,-0.810364204951605,1.6914427001416932
2,clean_interlayer_alignment,-0.7577681722658388,1.6843198438767257
2,full_interlayer_alignment,-0.810364204951605,1.6914427001416932
3,clean_interlayer_alignment,-0.7577681722658388,1.6843198438767257
3,full_interlayer_alignment,-0.810364204951605,1.6914427001416932
4,clean_interlayer_alignment,-0.7577681722658388,1.6843198438767257
4,full_interlayer_alignment,-0.810364204951605,1.6914427001416932
5,clean_interlayer_alignment,-0.7577681722658388,1.6843198438767257
5,full_interlayer_alignment,-0.810364204951605,1.6914427001416932
6,clean_interlayer_alignment,-0.7577681722658388,1.6843198438767257
6,full_interlayer_alignment,-0.810364204951605,1.6914427001416932
7,clean_interlayer_alignment,-0.7577681722658388,1.6843198438767257
7,full_interlayer_alignment,-0.810364204951605,1.6914427001416932
8,clean_interlayer_alignment,-0.7577681722658388,1.6843198438767257
8,full_interlayer_alignment,-0.810364204951605,1.6914427001416932
9,clean_interlayer_alignment,-0.7577681722658388,1.6843198438767257
9,full_interlayer_alignment,-0.810364204951605,1.6914427001416932
10,clean_interlayer_alignment,-0.7577681722658388,1.6843198438767257
10,full_interlayer_alignment,-0.810364204951605,1.6914427001416932
11,clean_interlayer_alignment,-0.7577681722658388,1.6843198438767257
11,full_interlayer_alignment,-0.810364204951605,1.6914427001416932
12,clean_interlayer_alignment,-0.7577681722658388,1.6843198438767257
12,full_interlayer_alignment,-0.810364204951605,1.6914427001416932
13,clean_interlayer_alignment,-0.7577681722658388,1.6843198438767257
13,full_interlayer_alignment,-0.810364204951605,1.6914427001416932
14,clean_interlayer_alignment,-0.7577681722658388,1.6843198438767257
14,full_interlayer_alignment,-0.810364204951605,1.6914427001416932
15,clean_interlayer_alignment,-0.7577681722658388,1.6843198438767257
15,full_interlayer_alignment,-0.810364204951605,1.6914427001416932
16,clean_interlayer_alignment,-0.7577681722658388,1.6843198438767257
16,full_interlayer_alignment,-0.810364204951605,1.6914427001416932
17,clean_interlayer_alignment,-0.7577681722658388,1.6843198438767257
17,full_interlayer_alignment,-0.810364204951605,1.6914427001416932
18,clean_interlayer_alignment,-0.7577681722658388,1.6843198438767257
18,full_interlayer_alignment,-0.810364204951605,1.6914427001416932
19,clean_interlayer_alignment,-0.7577681722658388,1.6843198438767257
19,full_interlayer_alignment,-0.810364204951605,1.6914427001416932
20,clean_interlayer_alignment,-0.7577681722658388,1.6843198438767257
20,full_interlayer_alignment,-0.810364204951605,1.6914427001416932
21,clean_interlayer_alignment,-0.7577681722658388,1.6843198438767257
21,full_interlayer_alignment,-0.810364204951605,1.6914427001416932
22,clean_interlayer_alignment,-0.7577681722658388,1.6843198438767257
22,full_interlayer_alignment,-0.810364204951605,1.6914427001416932
23,clean_interlayer_alignment,-0.7577681722658388,1.6843198438767257
23,full_interlayer_alignment,-0.810364204951605,1.6914427001416932
24,clean_interlayer_alignment,-0.7577681722658388,1.6843198438767257
24,full_interlayer_alignment,-0.810364204951605,1.6914427001416932
25,clean_interlayer_alignment,-0.7577681722658388,1.6843198438767257
25,full_interlayer_alignment,-0.810364204951605,1.6914427001416932
26,clean_interlayer_alignment,-0.7577681722658388,1.6843198438767257
26,full_interlayer_alignment,-0.810364204951605,1.6914427001416932
27,clean_interlayer_alignment,-0.7577681722658388,1.6843198438767257
27,full_interlayer_alignment,-0.810364204951605,1.6914427001416932
28,clean_interlayer_alignment,-0.7577681722658388,1.6843198438767257
28,full_interlayer_alignment,-0.810364204951605,1.6914427001416932
